county,Name,reg_desig,esr,Cong_Dist,add,urban_rura,ck_name,f_area,Sum_POP200,Sum_HOUSEH,arc,rurilec,distressed,totalhh,pop2000,popden2000,hhpct_0401,hhpct_0501,hhpct_0601,hhpct_0701,hhpct_0801,hhpct_0807,chnghhpct,samp05,samp07,adopt05,adopt07,adptchng,awareck05,noneed05,noneed07,medhhinc,perwhite,college,unemp,medage
095,Harlan,Distressed ARC,The Mountain Area,Congressional District 5,Cumberland Valley Area Development District,RURAL,Harlan County,1.3048e+10,33202,13291,1,1,1,13291,24465,52.3,0.334,0.56,0.56,0.735,0.811,0.813,1.432,93,85,0.162,0.377,1.328,0.232,0.236,0.177,22.4,0.932,0.054,0.06,46.3
121,Knox,Distressed ARC,The Cumberland Area,Congressional District 5,Cumberland Valley Area Development District,RURAL,Knox County,1.0806e+10,31795,12416,1,1,1,12416,23951,61.8,0.62,0.779,0.828,0.856,0.934,0.934,0.506,90,85,0.303,0.635,1.097,0.21,0.299,0.351,29.1,0.877,0.166,0.045,41.8
013,Bell,Distressed ARC,The Mountain Area,Congressional District 5,Cumberland Valley Area Development District,SMALL METRO,Bell County,1.0075e+10,30060,12004,1,1,1,12004,22890,63.3,0.675,0.732,0.759,0.891,0.984,0.985,0.459,89,85,0.25,0.531,1.123,0.217,0.252,0.564,26.8,0.865,0.195,0.075,46
193,Perry,Distressed ARC,The Mountain Area,Congressional District 5,Kentucky River Area Development District,RURAL,Perry County,9553714605,29390,11460,1,1,1,11460,22809,66.6,0.379,0.764,0.876,0.936,0.959,0.96,1.535,89,85,0.196,0.378,0.923,0.09,0.234,0.299,27.6,0.784,0.085,0.036,43.5
021,Boyle,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SMALL METRO,Boyle County,5105576227,27697,10574,0,0,0,10574,22127,120.8,0.823,0.871,0.904,0.951,0.975,0.976,0.185,89,85,0.348,0.507,0.457,0.254,0.234,0.513,36.7,0.875,0.241,0.037,45.9
043,Carter,Distressed ARC,The Ashland Area,Congressional District 4,FIVCO Area Development District,RURAL,Carter County,1.1488e+10,26889,10342,1,0,1,10342,21048,51.1,0.058,0.492,0.756,0.891,0.907,0.908,14.761,91,85,0.149,0.346,1.32,0.197,0.168,0.536,28.5,0.946,0.139,0.067,46.6
163,Meade,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,SUBURBAN,Meade County,9036859812,26349,9470,0,0,0,9470,20712,63.9,0.328,0.815,0.815,0.931,0.934,0.934,1.848,90,85,0.155,0.289,0.861,0.137,0.09,0.148,43.3,0.875,0.188,0.011,41.5
141,Logan,N/A,The Bowling Green - Hopkinsville Area,Congressional District 1,Barren River Area Development District,RURAL,Logan County,1.5532e+10,26573,10506,0,0,0,10506,20446,36.7,0.759,0.95,0.968,0.987,0.987,0.99,0.304,93,88,0.183,0.343,0.877,0.212,0.234,0.239,33.6,0.848,0.224,0.042,43.9
133,Letcher,Distressed ARC,The Mountain Area,Congressional District 5,Kentucky River Area Development District,RURAL,Letcher County,9453912474,25277,10085,1,1,1,10085,19361,57.1,0.417,0.558,0.647,0.692,0.86,0.865,1.074,90,85,0.18,0.368,1.05,0.203,0.157,0.172,22.1,0.889,0.158,0.045,46.3
085,Grayson,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,RURAL,Grayson County,1.4237e+10,24026,9581,0,0,0,9581,19261,37.7,0.116,0.63,0.77,0.82,0.853,0.869,6.488,94,85,0.231,0.428,0.855,0.215,0.133,0.23,33.9,0.989,0.169,0.058,46.6
137,Lincoln,ARC,The Lexington Area,Congressional District 6,Bluegrass Area Development District,RURAL,Lincoln County,9376175407,23355,9203,1,0,0,9203,18746,55.7,0.367,0.496,0.639,0.745,0.841,0.841,1.294,90,85,0.148,0.284,0.917,0.17,0.179,0.246,27.3,0.921,0.16,0.023,43.1
051,Clay,Distressed ARC,The Mountain Area,Congressional District 5,Cumberland Valley Area Development District,RURAL,Clay County,1.3125e+10,24556,8556,1,1,1,8556,18531,39.4,0.318,0.699,0.793,0.849,0.956,0.96,2.019,87,85,0.177,0.392,1.211,0.261,0.328,0.415,19.2,0.897,0.153,0.031,43.7
115,Johnson,Distressed ARC,The Mountain Area,Congressional District 5,Big Sandy Area Development District,RURAL,Johnson County,7356086182,23445,9103,1,1,1,9103,18455,69.9,0.817,0.921,0.936,0.981,0.981,0.981,0.2,89,85,0.205,0.377,0.841,0.182,0.058,0.482,35.8,0.88,0.121,0.043,46.7
217,Taylor,N/A,The Bowling Green - Hopkinsville Area,Congressional District 2,Lake Cumberland Area Development District,SMALL METRO,Taylor County,7722853850,22927,9233,0,0,0,9233,18277,66,0.695,0.832,0.881,0.945,0.952,0.96,0.381,88,85,0.226,0.42,0.864,0.273,0.182,0.412,33.2,0.879,0.16,0.048,46.9
239,Woodford,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SUBURBAN,Woodford County,5403872700,23208,8893,0,0,0,8893,18219,94,0.764,0.905,0.951,0.991,0.991,0.991,0.298,89,85,0.354,0.501,0.415,0.223,0.358,0.321,61,0.897,0.472,0.01,42.7
183,Ohio,N/A,The Owensboro - Henderson Area,Congressional District 2,Green River Area Development District,RURAL,Ohio County,1.6632e+10,22916,8899,0,0,0,8899,18121,30.4,0.353,0.446,0.45,0.664,0.666,0.779,1.205,89,85,0.154,0.308,0.993,0.202,0.272,0.392,32,0.905,0.152,0.034,46.2
173,Montgomery,ARC,The Lexington Area,Congressional District 6,Gateway Area Development District,SMALL METRO,Montgomery County,5540682052,22554,8902,1,0,0,8902,17894,90,0.754,0.814,0.874,0.934,0.934,0.934,0.239,89,85,0.263,0.61,1.316,0.191,0.086,0.302,31.1,0.899,0.239,0.086,45.1
205,Rowan,ARC,The Ashland Area,Congressional District 5,Gateway Area Development District,RURAL,Rowan County,7979271614,22090,7926,1,0,0,7926,17838,62.3,0.456,0.793,0.908,0.965,0.965,0.965,1.117,88,85,0.399,0.62,0.554,0.281,0.192,0.12,30.7,0.86,0.332,0.076,39.3
081,Grant,N/A,The Northern Kentucky Area,Congressional District 4,Northern Kentucky Area Development District,SUBURBAN,Grant County,7265122168,22384,8175,0,0,0,8175,17668,67.8,0.579,0.657,0.665,0.811,0.941,0.941,0.625,90,85,0.201,0.334,0.662,0.133,0.096,0.195,41.3,0.937,0.193,0.021,43.5
167,Mercer,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,RURAL,Mercer County,7031579176,20817,8423,0,0,0,8423,16387,65,0.649,0.679,0.745,0.807,0.89,0.89,0.371,93,86,0.225,0.366,0.629,0.138,0.233,0.34,39.1,0.915,0.235,0.032,48
231,Wayne,Distressed ARC,The Cumberland Area,Congressional District 5,Lake Cumberland Area Development District,RURAL,Wayne County,1.3498e+10,19880,7896,1,0,1,7896,15587,32.2,0.016,0.566,0.664,0.791,0.925,0.925,55.521,89,85,0.256,0.496,0.938,0.169,0.097,0.383,30.4,0.978,0.172,0.078,45.3
005,Anderson,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,RURAL,Anderson County,5665135595,19111,7320,0,0,0,7320,15106,74.3,0.602,0.625,0.672,0.741,0.756,0.792,0.316,87,85,0.332,0.501,0.507,0.273,0.301,0.032,51.4,0.906,0.244,0.034,45.7
017,Bourbon,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SUBURBAN,Bourbon County,8128873779,19360,7681,0,0,0,7681,15000,51.4,0.79,0.86,0.862,0.919,0.919,0.919,0.163,87,85,0.244,0.416,0.709,0.236,0.349,0.185,48.4,0.898,0.293,0.014,47.4
027,Breckinridge,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,RURAL,Breckinridge County,1.6321e+10,18604,7301,0,0,0,7301,14730,25.2,0.254,0.494,0.502,0.634,0.66,0.66,1.595,87,85,0.091,0.154,0.691,0.186,0.241,0.209,39.2,0.966,0.213,0.033,47
161,Mason,N/A,The Northern Kentucky Area,Congressional District 4,Buffalo Trace Area Development District,RURAL,Mason County,6876827514,16753,6829,0,0,0,6829,14159,40.8,0.189,0.675,0.894,0.902,0.968,0.969,4.139,91,86,0.236,0.498,1.11,0.217,0.155,0.233,31.9,0.839,0.151,0.041,43.1
003,Allen,N/A,The Bowling Green - Hopkinsville Area,Congressional District 1,Barren River Area Development District,RURAL,Allen County,9812376640,17800,6910,0,1,0,6910,14097,40.1,0.57,0.925,0.958,0.991,0.991,0.991,0.74,91,85,0.334,0.597,0.788,0.22,0.153,0.281,32,0.925,0.173,0.046,45.1
097,Harrison,N/A,The Lexington Area,Congressional District 4,Bluegrass Area Development District,RURAL,Harrison County,8639696552,17983,7012,0,0,0,7012,13992,45.1,0.47,0.474,0.492,0.514,0.738,0.739,0.57,88,85,0.117,0.227,0.936,0.176,0.276,0.238,45.3,0.887,0.231,0.024,47.6
119,Knott,Distressed ARC,The Mountain Area,Congressional District 5,Kentucky River Area Development District,RURAL,Knott County,9839719139,17649,6717,1,1,1,6717,13802,39.1,0.963,0.982,0.991,1,1,1,0.038,92,85,0.216,0.415,0.928,0.212,0.229,0.48,22,0.9,0.224,0.052,44
099,Hart,ARC,The Bowling Green - Hopkinsville Area,Congressional District 2,Barren River Area Development District,RURAL,Hart County,1.1648e+10,17445,6769,1,1,0,6769,13798,33,0.907,0.941,0.982,0.982,0.999,0.999,0.102,89,86,0.471,0.796,0.688,0.257,0.232,0.263,36,0.934,0.206,0.032,45.9
001,Adair,ARC,The Cumberland Area,Congressional District 1,Lake Cumberland Area Development District,RURAL,Adair County,1.1491e+10,17244,6747,1,0,0,6747,13621,33,0.162,0.5,0.713,0.814,0.935,0.937,4.771,89,85,0.208,0.404,0.941,0.207,0.364,0.275,34,0.83,0.194,0.07,46.7
207,Russell,Distressed ARC,The Cumberland Area,Congressional District 1,Lake Cumberland Area Development District,RURAL,Russell County,7890021710,16144,6862,1,1,1,6862,13172,46.5,0.801,0.9,0.978,1,1,1,0.249,90,85,0.381,0.588,0.542,0.187,0.127,0.259,34.1,0.836,0.181,0.01,46.6
